iter	RMSE
0	1101.589118
1	1093.601257
2	1085.963489
3	1078.421877
4	1070.470131
5	1060.752056
6	1054.360203
7	1047.867879
8	1040.919314
9	1034.10884
10	1028.090162
11	1021.478219
12	1014.186022
13	1007.521501
14	1001.153647
15	995.4721944
16	989.0865017
17	982.2180789
18	976.4884094
19	969.7779568
20	963.8731062
21	958.073201
22	953.0241844
23	947.3452532
24	941.2703539
25	935.2981372
26	930.2706371
27	924.4866225
28	919.6050974
29	914.4601562
30	910.1454671
31	905.7487029
32	900.9349861
33	896.6495992
34	891.2824051
35	886.7621949
36	882.6985435
37	878.0887366
38	873.8272981
39	870.5006865
40	866.3325339
41	860.8633014
42	856.6774153
43	852.909589
44	848.2914919
45	844.2328352
46	840.2493956
47	834.0795257
48	830.5603751
49	826.0035611
50	822.7734961
51	817.6346391
52	814.0897848
53	810.2555426
54	806.7648778
55	803.109645
56	799.4844143
57	796.4335631
58	793.2837902
59	790.0182095
60	786.4115847
61	783.4398069
62	779.4965699
63	776.8078101
64	774.0191345
65	770.3908401
66	767.5313889
67	763.4620961
68	760.5248459
69	757.4901963
70	755.3077272
71	752.693622
72	747.4644349
73	744.2721496
74	741.1384059
75	737.631146
76	735.2482837
77	732.6545641
78	730.4126735
79	728.5869841
80	726.6794444
81	720.3844609
82	717.8038957
83	715.3099588
84	712.4359916
85	710.1803888
86	707.8248545
87	703.51745
88	701.6743718
89	698.2546024
90	696.4876741
91	691.403243
92	689.4139707
93	686.7905131
94	683.8359959
95	681.825966
96	679.9062606
97	678.3180019
98	675.8627777
99	673.9629604
100	672.5153081
101	667.696839
102	663.4425409
103	658.7916349
104	656.7809864
105	655.019642
106	653.2726368
107	651.6265501
108	649.1479323
109	647.1941978
110	644.0334421
111	642.1284427
112	639.3255343
113	636.6928403
114	633.5124549
115	628.6197617
116	626.9480964
117	625.5330817
118	622.339852
119	620.8627542
120	619.3123733
121	616.1840977
122	614.8318474
123	612.9693722
124	610.8562701
125	607.1550927
126	606.1358574
127	604.4608184
128	601.0891745
129	597.3015238
130	593.2279586
131	590.6698523
132	588.1523991
133	585.252581
134	582.6800755
135	579.8025107
136	575.7668532
137	574.4628634
138	573.3889565
139	570.3199209
140	567.6412846
141	565.7934536
142	562.5466855
143	561.0427772
144	559.5429199
145	557.6787792
146	556.5693893
147	554.6018068
148	551.3645038
149	549.0932574
150	547.0338829
151	544.8421144
152	542.6071978
153	541.3820906
154	538.9505635
155	536.1328227
156	534.5542278
157	532.9007019
158	530.6098038
159	527.857293
160	525.1038467
161	523.6447745
162	522.1754716
163	519.5704359
164	518.7129226
165	515.8703463
166	514.5854609
167	511.2313787
168	510.3387602
169	507.8329545
170	506.3792848
171	503.9746893
172	502.7709
173	499.5499243
174	497.5030243
175	496.1018578
176	493.7796639
177	492.9219199
178	490.683694
179	488.3406887
180	487.2590368
181	486.311333
182	484.3176974
183	482.5523016
184	481.4575781
185	478.9715954
186	476.8819991
187	474.7907551
188	473.5934166
189	472.7917288
190	471.7954411
191	470.6299238
192	469.8617453
193	468.6372569
194	467.6425142
195	465.3315623
196	464.1790929
197	462.8984817
198	460.8556145
199	458.4244689
200	456.1291845
201	455.4000849
202	454.346684
203	452.4634645
204	451.3126027
205	449.8372324
206	449.1377434
207	447.6572138
208	446.4566598
209	444.1566026
210	442.1012852
211	441.4777298
212	440.392625
213	438.5593308
214	436.7738167
215	435.5582786
216	434.8871263
217	434.2305885
218	432.0265843
219	431.2094242
220	430.5690642
221	428.8025806
222	428.1925963
223	426.4280189
224	425.5402055
225	424.1037221
226	422.7244679
227	421.7240697
228	420.7823635
229	418.8708057
230	418.257126
231	417.0515041
232	415.4703961
233	414.8713505
234	413.4195967
235	412.8303878
236	411.2558367
237	409.2785501
238	408.3300489
239	407.0267525
240	405.5803602
241	405.0139026
242	403.7695644
243	402.5134735
244	401.9913996
245	400.857864
246	399.5713034
247	399.0297997
248	398.2321924
249	397.7019944
250	397.2043667
251	395.5016746
252	394.6854456
253	393.7197041
254	391.8631553
255	391.380772
256	390.0667696
257	389.1405784
258	388.0074768
259	387.5039536
260	386.2225559
261	385.7655097
262	385.0463081
263	384.615935
264	384.1436799
265	382.7400701
266	381.4813581
267	380.5447143
268	379.2114345
269	378.7499392
270	377.4826292
271	376.7744674
272	375.9062334
273	375.0561559
274	374.2281293
275	373.3036458
276	372.6161812
277	371.3724603
278	370.9379147
279	370.4962221
280	369.8348189
281	368.4365166
282	367.6238098
283	367.2049283
284	366.7791068
285	365.614049
286	364.4507278
287	363.6296808
288	362.9029177
289	361.6781236
290	360.935054
291	359.5853332
292	358.8168322
293	357.6977374
294	357.2816001
295	356.6261001
296	355.163553
297	354.4015649
298	354.0041701
299	352.7980993
300	352.1243717
301	351.7428161
302	351.0247863
303	350.0409507
304	348.9839516
305	348.5881272
306	347.8277594
307	346.8359305
308	346.4610914
309	345.8812218
310	345.066451
311	344.4291705
312	343.7718044
313	342.0980428
314	341.1196949
315	340.0090981
316	338.8757525
317	337.950562
318	336.8712105
319	336.5022605
320	335.8110318
321	334.7274223
322	334.3677387
323	333.628518
324	332.9264675
325	332.3104186
326	331.4814755
327	330.9365671
328	329.9611679
329	329.6229973
330	329.0455226
331	328.2774172
332	327.5981221
333	326.8066042
334	326.465348
335	325.9043646
336	325.3426915
337	324.6735329
338	324.1280417
339	323.607124
340	322.8488381
341	322.3346483
342	321.812295
343	320.9544444
344	319.9185194
345	318.9856254
346	318.4395587
347	317.3917188
348	316.8570677
349	316.079588
350	315.562762
351	314.6723475
352	314.345823
353	314.0362984
354	313.5398914
355	312.987078
356	312.110842
357	311.8096643
358	311.5262695
359	310.5605759
360	309.9136043
361	309.434427
362	309.1344973
363	308.6784415
364	308.2146192
365	307.0517254
366	306.5597077
367	305.6162785
368	305.3590679
369	304.9210798
370	303.9737138
371	303.4822446
372	303.066857
373	302.6373149
374	302.2034151
375	301.9287563
376	301.2151403
377	300.7286427
378	300.3061537
379	299.8260381
380	299.0773663
381	298.3466108
382	297.8015714
383	297.218218
384	296.3284882
385	296.0520027
386	295.645322
387	295.0271378
388	294.2412607
389	293.9933148
390	293.461831
391	292.9362226
392	292.5094006
393	292.2567983
394	291.4571537
395	290.934702
396	289.9881175
397	289.1604729
398	288.9024049
399	288.5141194
400	287.990317
401	287.7382983
402	287.4917239
403	286.9837621
404	286.5787635
405	286.1353058
406	285.3152182
407	284.9193396
408	284.2356707
409	283.525435
410	282.6497839
411	282.1749232
412	281.9332886
413	281.2939033
414	280.6223635
415	280.2353949
416	279.7814606
417	278.9267714
418	278.4402637
419	278.2119918
420	277.5247994
421	277.1464315
422	276.4266428
423	276.204954
424	275.752679
425	275.3842595
426	274.7779204
427	274.1860694
428	273.9702481
429	273.5120355
430	273.1398903
431	272.7757731
432	272.4202244
433	272.0701209
434	271.6822108
435	271.349379
436	270.7284187
437	270.2867905
438	269.5044776
439	269.1782074
440	268.5482512
441	268.2145656
442	267.8701036
443	267.5478095
444	267.095905
445	266.8611301
446	266.5492799
447	266.3512743
448	266.0293879
449	265.7363234
450	265.0512421
451	264.7687896
452	264.567477
453	264.1256042
454	263.6768155
455	263.0342164
456	262.5205406
457	262.072282
458	261.4777332
459	261.0498623
460	260.1995791
461	260.0096176
462	259.467312
463	259.2810269
464	258.6410595
465	258.2440627
466	257.5409727
467	256.9572345
468	256.3817267
469	256.1912283
470	255.8802971
471	255.3518791
472	254.7984344
473	254.6239462
474	254.1507586
475	253.9669252
476	253.4908521
477	253.1209821
478	252.8230181
479	252.6428441
480	252.3530789
481	251.6679714
482	251.4909786
483	250.8626294
484	250.1816591
485	249.8971907
486	249.4444546
487	249.2703578
488	249.0131144
489	248.3588178
490	247.8492756
491	247.6771114
492	247.5148346
493	246.9033486
494	246.4568001
495	246.1757105
496	245.9009217
497	245.4294883
498	245.0796433
499	244.5016321
500	244.0703585
501	243.6134454
502	243.0031166
503	242.8422208
504	242.54005
505	241.9517019
506	241.6864882
507	241.5224746
508	241.2021706
509	240.6725256
510	239.9219623
511	239.5201721
512	238.9787515
513	238.3776875
514	238.1187652
515	237.9558324
516	237.7960713
517	237.5585321
518	237.0966227
519	236.7941694
520	236.3523928
521	235.7369379
522	235.5791258
523	235.1328539
524	234.886154
525	234.7312638
526	234.3306734
527	234.0883381
528	233.5800316
529	233.3009063
530	233.0692525
531	232.7000731
532	232.5620999
533	232.3283404
534	231.6920939
535	231.5492676
536	231.1391937
537	230.6801693
538	230.3292129
539	230.1835043
540	229.9585126
541	229.7320728
542	229.479125
543	229.219551
544	228.9960841
545	228.5417744
546	228.3996216
547	227.8543108
548	227.5361407
549	227.096225
550	226.8831942
551	226.748887
552	226.5409946
553	226.0924503
554	225.893362
555	225.754783
556	225.3487424
557	225.0994317
558	224.5924277
559	224.3813535
560	223.9600982
561	223.6179004
562	223.3514521
563	223.1420608
564	222.9591713
565	222.8287588
566	222.412058
567	221.9952874
568	221.4948459
569	221.2631103
570	221.1292372
571	221.0043514
572	220.6204343
573	220.2901733
574	220.0573112
575	219.8136069
576	219.690484
577	219.4925535
578	219.1397997
579	218.7958048
580	218.42937
581	218.3024116
582	218.1071515
583	217.8832403
584	217.7018699
585	216.9987892
586	216.8733742
587	216.4772089
588	216.3541101
589	215.8549974
590	215.6717192
591	215.273717
592	215.0144509
593	214.9041031
594	214.7164394
595	214.6039428
596	214.4186595
597	214.0086274
598	213.7760809
599	213.411201
600	213.2941605
601	213.0118526
602	212.6486696
603	212.3766657
604	212.1941209
605	212.0787311
606	211.9004079
607	211.6872109
608	211.4850936
609	211.0764226
610	210.7552657
611	210.2673673
612	210.1540707
613	209.9770729
614	209.6418582
615	209.4681922
616	209.3564982
617	209.1767234
618	208.8523809
619	208.4451873
620	208.2263369
621	207.9741068
622	207.6055415
623	207.4307695
624	207.1611556
625	206.959008
626	206.8510963
627	206.5843572
628	206.4163072
629	206.2479089
630	206.0554271
631	205.8923971
632	205.7277167
633	205.5732729
634	205.4687807
635	205.2024496
636	204.9096577
637	204.7530218
638	204.5633001
639	204.215446
640	203.7180543
641	203.567034
642	203.4598083
643	203.1562154
644	203.0038915
645	202.6004841
646	202.2132049
647	201.918153
648	201.8122896
649	201.7085104
650	201.4220756
651	201.1306161
652	201.0282191
653	200.6541671
654	200.5035589
655	200.1617114
656	200.0603964
657	199.7551045
658	199.6555337
659	199.3588721
660	199.1682575
661	198.8398723
662	198.7413939
663	198.5906381
664	198.2805486
665	197.9551478
666	197.7197949
667	197.3538056
668	197.2564936
669	196.8672987
670	196.6925715
671	196.6012002
672	196.2729398
673	195.9931883
674	195.7584998
675	195.6162823
676	195.521443
677	195.4324866
678	195.1585006
679	195.0134456
680	194.7217426
681	194.4997746
682	194.3286821
683	194.2378727
684	193.7902741
685	193.656983
686	193.5677918
687	193.435332
688	193.0321995
689	192.8424732
690	192.5516608
691	192.4601901
692	192.3725249
693	192.1993125
694	192.0598055
695	191.829591
696	191.572021
697	191.4818528
698	191.2736947
699	190.935416
700	190.7618963
701	190.6299669
702	190.3204371
703	190.2311973
704	190.0480708
705	189.7391196
706	189.558088
707	189.4224044
708	189.0769753
709	188.9885574
710	188.9014501
711	188.6460325
712	188.4675602
713	188.230972
714	188.1490727
715	188.0154632
716	187.8491247
717	187.5832746
718	187.4977835
719	187.2163549
720	187.1318371
721	186.9095137
722	186.8258432
723	186.4956375
724	186.2459675
725	185.9903871
726	185.8602486
727	185.5720245
728	185.3654953
729	185.0751842
730	184.9963761
731	184.9148435
732	184.7603795
733	184.5980451
734	184.3890354
735	184.0291455
736	183.902049
737	183.8251439
738	183.6510699
739	183.5307318
740	183.3454059
741	183.1218721
742	183.0420171
743	182.9122606
744	182.7979729
745	182.5996723
746	182.5207698
747	182.3744579
748	182.2579024
749	182.1799263
750	182.0226274
751	181.8489663
752	181.7282243
753	181.4740954
754	181.1875532
755	180.9731457
756	180.8955653
757	180.7289943
758	180.4572025
759	180.0893331
760	179.8172184
761	179.7405758
762	179.6213919
763	179.5461249
764	179.4383692
765	179.3637304
766	179.1581617
767	178.9405752
768	178.7327139
769	178.4187756
770	178.2343476
771	178.1603439
772	178.021275
773	177.9060883
774	177.5442409
775	177.3221415
776	177.1198639
777	177.0060503
778	176.8633928
779	176.759662
780	176.6865143
781	176.4872717
782	176.3446114
783	176.0688668
784	175.9966797
785	175.9252386
786	175.7257214
787	175.3907289
788	175.15014
789	175.081785
790	174.9710736
791	174.8055482
792	174.7359406
793	174.6016744
794	174.3694346
795	174.2611051
796	174.0705254
797	173.883067
798	173.543735
799	173.4363781
800	173.3084807
