iter	Passed	Remaining
0	77	77759
1	132	66141
2	181	60241
3	224	55807
4	265	52853
5	308	51059
6	349	49564
7	393	48736
8	439	48340
9	485	48037
10	537	48311
11	591	48663
12	645	48974
13	700	49325
14	744	48896
15	787	48458
16	831	48105
17	876	47823
18	920	47534
19	964	47268
20	1009	47060
21	1053	46839
22	1103	46865
23	1158	47104
24	1219	47560
25	1267	47497
26	1315	47415
27	1360	47244
28	1403	46990
29	1448	46834
30	1515	47370
31	1560	47213
32	1603	46975
33	1648	46835
34	1690	46610
35	1738	46558
36	1791	46623
37	1839	46568
38	1882	46389
39	1926	46224
40	1972	46140
41	2017	46014
42	2060	45849
43	2101	45670
44	2143	45497
45	2185	45333
46	2227	45163
47	2269	45005
48	2310	44848
49	2351	44685
50	2393	44541
51	2434	44387
52	2476	44244
53	2517	44099
54	2558	43958
55	2601	43853
56	2643	43740
57	2686	43633
58	2728	43517
59	2777	43510
60	2827	43532
61	2878	43554
62	2927	43541
63	3014	44081
64	3067	44130
65	3135	44371
66	3194	44488
67	3255	44620
68	3302	44561
69	3346	44454
70	3389	44347
71	3430	44220
72	3479	44190
73	3529	44161
74	3574	44081
75	3619	44011
76	3663	43918
77	3709	43842
78	3753	43762
79	3797	43666
80	3841	43581
81	3886	43510
82	3936	43492
83	3988	43490
84	4046	43559
85	4109	43678
86	4165	43712
87	4210	43639
88	4265	43661
89	4314	43625
90	4360	43553
91	4406	43489
92	4450	43404
93	4494	43318
94	4536	43216
95	4579	43120
96	4622	43029
97	4670	42987
98	4723	42984
99	4800	43201
100	4849	43167
101	4897	43118
102	4945	43071
103	4994	43026
104	5043	42987
105	5091	42937
106	5134	42855
107	5180	42785
108	5223	42701
109	5266	42606
110	5307	42507
111	5349	42413
112	5392	42327
113	5437	42259
114	5484	42203
115	5531	42154
116	5575	42075
117	5617	41984
118	5659	41902
119	5703	41822
120	5745	41737
121	5786	41641
122	5827	41550
123	5869	41462
124	5910	41371
125	5952	41290
126	5993	41200
